title,company,description,link,listedOn,email,phone,city,region,salary,runDate,jobType,regionName,applyType
Pick Packer / Storeperson,Hitchon International Ltd,"We have a storeperson position available at our new, state-of-the-art, narrow-aisle distribution centre, easily accessible via SH1 near Chch airport.",https://www.seek.co.nz/job/82289497?type=standard&ref=search-standalone&origin=cardTitle#sol=ebfd7d45423eae05e1e032ef7300ada7599bf88f,18d ago,,,Henderson,Auckland,"E $74,748.00 - $97,295.00",2025-03-13,,,Quick Apply
Retail Team Member,Cash Converters,"Join a global company, immerse yourself in a unique retail role, and make a meaningful impact in your community by providing financial solutions.",https://www.seek.co.nz/job/82111969?type=standard&ref=search-standalone&origin=cardTitle#sol=923879452493b24ec83f9ebf2300a7ae6b1385d0,25d ago,,,Henderson,Auckland,$27 – $35 per hour,2025-03-13,,,Quick Apply
Analyst Tester,FNZ Services (NZ) Limited,Join FNZ as an Analyst Tester and embark on an exciting journey! You'll be involved in a wide range of tasks and challenged every step of the way!,https://www.seek.co.nz/job/78403565?type=standard&ref=search-standalone&origin=cardTitle#sol=60f0d7df45dd308ac1befec6ff802d42a42a5a80,3d ago,,,Henderson,Auckland,$28 per hour + company car & fuel,2025-03-13,,,Apply
kitchen Assistant,mibo bakery limited,Looking for experienced kitchen assistant to join our team!,https://www.seek.co.nz/job/82485516?type=standard&ref=search-standalone&origin=cardTitle#sol=e0ebb739301dd75de9e0091ee471e8eb57f661a1,10d ago,,,Henderson,Auckland,Opportunity for career growth and development,2025-03-13,,,Quick Apply
"Kitchen Porter | Bistro Saine (New Opening!)",Bistro Saine,"As we are preparing to open, we are now seeking a Kitchen Porter to join our team to help establish our exciting new venue",https://www.seek.co.nz/job/82640501?type=standard&ref=search-standalone&origin=cardTitle#sol=703f49a3bdacedd61de970a4bb0ea9e94619ab1d,4d ago,,,Henderson,Auckland,,2025-03-13,,,Quick Apply
Food Service Associate (Casual)-Northshore Hospital x 5,Compass Group New Zealand,"Casual Food Service Associates required to work at Northshore Hospital on a if and when required basis,dependent on business needs.",https://www.seek.co.nz/job/82713896?type=standard&ref=search-standalone&origin=cardTitle#sol=2fc9265fa4a9323ce5105dea2fa74d97ecb6dd4d,1d ago,,,Henderson,Auckland,,2025-03-13,,,Apply
Customer Service Team Leader,IKEA Sylvia Park,This is your chance to become part of the IKEA whānau and be part of something historic from day one.,https://www.seek.co.nz/job/82747864?type=standard&ref=search-standalone&origin=cardTitle#sol=f9d2fa00f89b6d43f77294221e1f8a54653a365d,16h ago,,,Henderson,Auckland,,2025-03-13,,,Apply
Custody Officer,New Zealand Police,Custody Officer,https://www.seek.co.nz/job/82284746?type=standard&ref=search-standalone&origin=cardTitle#sol=35522075d8c001a60c0eddd14e960c6a517232d4,18d ago,,,Henderson,Auckland,,2025-03-13,,,Apply
Monitoring Centre Operator - Full Time and Part-Time,Allied Universal Electronic Monitoring Australia Pty Ltd,You will provide critical electronic monitoring services to our clients to ensure compliance and assist law enforcement and government agencies.,https://www.seek.co.nz/job/82431796?type=standard&ref=search-standalone&origin=cardTitle#sol=ac11d2d7cbff4f916fa9c2b27951e9837a9c4cac,13d ago,,,Henderson,Auckland,,2025-03-13,,,Quick Apply
Dental receptionist,City Dental Lounge,"Join our boutique dental practice as a receptionist! Greet patients, manage bookings, and support admin tasks in a friendly, professional team.",https://www.seek.co.nz/job/82626940?type=standard&ref=search-standalone&origin=cardTitle#sol=4c25bd7a2b416164bd8b123698d59d6e51d225fa,5d ago,,,Henderson,Auckland,,2025-03-13,,,Quick Apply
Class 1 Delivery Driver - Hobsonville Branch,Bidfood,Class 1 Delivery Driver - great team and work life balance,https://www.seek.co.nz/job/82641530?type=standard&ref=search-standalone&origin=cardTitle#sol=c4ff44b2803a72292fb33423fd332018a19eaf87,4d ago,,,Henderson,Auckland,,2025-03-13,,,Apply
Retail Sales Assistant,The Maintenance House,Work for a long standing NZ company. Good remuneration,https://www.seek.co.nz/job/82213857?type=standard&ref=search-standalone&origin=cardTitle#sol=96d547170f9ba114bcebf44d3813713dc44b07b5,22d ago,,,Henderson,Auckland,,2025-03-13,,,Quick Apply
General Hand / Handyman,J. A. Russell Ltd,Join The Maintenance House as a handyman! Enjoy great perks and a supportive team while keeping rental properties in top shape.,https://www.seek.co.nz/job/82153745?type=standard&ref=search-standalone&origin=cardTitle#sol=fd10fa84f63fea82c24a0c6fa8c49b5264da818d,23d ago,,,Henderson,Auckland,,2025-03-13,,,Quick Apply
Customer Service - Wellington Branch,Just Looking,We are seeking a motivated and dependable Customer Service Person to join the friendly team at our Wellington Branch.,https://www.seek.co.nz/job/82529141?type=standard&ref=search-standalone&origin=cardTitle#sol=65fc6c7635e50e6ad46b2c76d64a4cb03142c4bf,8d ago,,,Henderson,Auckland,,2025-03-13,,,Quick Apply
Full-Time Sales Assistant,,"We have an exciting opportunity for a confident, self-motivated person to join the Sales Team at our beautiful Palmerston North store.",https://www.seek.co.nz/job/82705475?type=standard&ref=search-standalone&origin=cardTitle#sol=f5140edd5b5edf31ca9c8491773430863e605942,1d ago,,,Henderson,Auckland,,2025-03-13,,,Quick Apply
Customer Experience Champion - Support,Hill Labs,"You would be joining an experienced team, at our Hamilton Head office – supporting our national customer base.",https://www.seek.co.nz/job/82760337?type=promoted&ref=search-standalone&origin=cardTitle#sol=c7b89bcfc11e11cdd47e5b0fe0c52a57ddc312da,21d ago,,,Hamilton Lake,Waikato,"Great workplace culture, balance and opportunites",2025-03-13,,,Apply
