title,company,description,link,listedOn,email,phone,city,region,salary,runDate,jobType,regionName
Event Coordinator (Parental Leave Cover),Trinity Wharf Tauranga,Join our busy events team at Tauranga's premium hotel & conference venue!,https://www.seek.co.nz/job/82069867?type=standard&ref=search-standalone&origin=cardTitle#sol=5a05cc807cfad61e30b22feaff63cbd2f3b61c0f,27d ago,,,,,,13/03/2025,,Bay-of-Plenty
Business Analyst Lead,Techspace Consulting Limited,"To provide hands-on analysis, lead a team of 4, drive process improvements, and deliver strategic business solutions",https://www.seek.co.nz/job/82146962?type=standard&ref=search-standalone&origin=cardTitle#sol=df87e391ff0e300f48105c5bce8a263b4378d8c0,23d ago,,,,,,13/03/2025,,Bay-of-Plenty
Data Architect & ML Lead,Cucumber Limited,"Lead big data architecture, MLOps, and data management solutions. Build scalable, impactful systems for real-world challenges.",https://www.seek.co.nz/job/82475984?type=standard&ref=search-standalone&origin=cardTitle#sol=cd1b31ace61fae86d41e3dd832277835b7b29568,10d ago,,,,,,13/03/2025,,Bay-of-Plenty
Research Investment Advisor,New Zealand Forest Research Ltd trading as Scion,"Provide research funding expertise, facilitate effective funding practice, support Scientists in securing funding, maximising the impact of research.",https://www.seek.co.nz/job/82392447?type=standard&ref=search-standalone&origin=cardTitle#sol=f6950715bd9520ee2cb240670c8fa952a1e7fd03,14d ago,,,,,,13/03/2025,,Bay-of-Plenty
Network Consultant,Absolute IT Limited,"Fortinet Guru needed! Lead network security. Expert knowledge of FortiGate, SD-WAN, VPN, Security Fabric, FortiAnalyzer required.",https://www.seek.co.nz/job/82075712?type=standard&ref=search-standalone&origin=cardTitle#sol=631c22e7ae9a7f2f79a88222f55bed1666290e69,27d ago,,,,,,13/03/2025,,Bay-of-Plenty
Senior Business Analyst,Techspace Consulting Limited,"Drive process improvements, analyze business needs, and mentor junior analysts while ensuring high-quality BA deliverables",https://www.seek.co.nz/job/82147315?type=standard&ref=search-standalone&origin=cardTitle#sol=641064cee51a6f4001b13c006ec8deb7f1845d87,23d ago,,,,,,13/03/2025,,Bay-of-Plenty
Data Analyst,Te Tāwharau o Te Whakatōhea,"Data drives our decisions. Unlock insights, drive impact! Join our team as a Data Analyst and transform data into actionable strategies.",https://www.seek.co.nz/job/82143150?type=standard&ref=search-standalone&origin=cardTitle#sol=a768b3d8d84e91712f20e6c67acf0f5d55ad6f50,23d ago,,,,,,13/03/2025,,Bay-of-Plenty
ICT Support Technician - Tauranga,Desktop Technology Services Ltd,"Passionate about ICT Technician support and want to progress your career? Join our friendly, 100% NZ owned, nationwide team",https://www.seek.co.nz/job/82218320?type=standard&ref=search-standalone&origin=cardTitle#sol=c01f986e9880cc11161e8eb83b6efe76ed4e2006,21d ago,,,,,,13/03/2025,,Bay-of-Plenty
Marketing Coordinator,Nduro Events,"This role is perfect for someone who thrives in a fast-paced, hands-on environment and loves turning creative ideas into action.",https://www.seek.co.nz/job/82472562?type=standard&ref=search-standalone&origin=cardTitle#sol=a737b398fe83a31828190827d1db7b8f1ca85634,10d ago,,,,,,13/03/2025,,Bay-of-Plenty
Head of Marketing and Communications,New Zealand Forest Research Ltd trading as Scion,"Lead a dynamic team of five to deliver marketing and communications, showcasing Scion’s Impactful research contributions to Aotearoa, New Zealand.",https://www.seek.co.nz/job/82526028?type=standard&ref=search-standalone&origin=cardTitle#sol=bcd74a8fd4b5151ce3d943fdda60f6a264bf6a09,8d ago,,,,,,13/03/2025,,Bay-of-Plenty
Instrumentation and Telemetry (IoT) Technician – Tauranga,Geotechnics Ltd,We are looking for an Intermediate Technician to join our team in Tauranga. This is a great opportunity for someone looking to get stuck into a career,https://www.seek.co.nz/job/82699588?type=standard&ref=search-standalone&origin=cardTitle#sol=217091c08a48b2038d8e68369d0fd298a6bf867f,1d ago,,,,,,13/03/2025,,Bay-of-Plenty
Digital Analyst,The Conqueror Challenges,Great opportunity for an analyst with experience in writing web/app requirements to work on a product helping customers build a healthier lifestyle.,https://www.seek.co.nz/job/82667098?type=standard&ref=search-standalone&origin=cardTitle#sol=1f009b8dcdbd8b8afc84fe7f642b02f3e41e2347,2d ago,,,,,,13/03/2025,,Bay-of-Plenty
General Manager,Abodo Wood Limited,"If you are a dynamic leader with a passion for the Heavy Transport and Mechanical Services industry, we would love to hear from you. Apply now!",https://www.seek.co.nz/job/82397694?type=standard&ref=search-standalone&origin=cardTitle#sol=49c713f3dccbd79e061c184a4082004a50033b2a,14d ago,,,,,,13/03/2025,,Bay-of-Plenty
Research and Development - Assistant,Trimax Mowing Systems,Graduate role to use your degree in Chemistry or Mathematics to kickstart your career in R & D!,https://www.seek.co.nz/job/82181033?type=standard&ref=search-standalone&origin=cardTitle#sol=fa4e0549cdcc4618b26445fca68d513f4c2a1324,23d ago,,,,,,13/03/2025,,Bay-of-Plenty
Data & Insights Analyst - Power BI,Interpine Group Ltd,Data-driven insights to support and shape business decisions. Interesting and varied work with interaction with a wide range of business users.,https://www.seek.co.nz/job/82250128?type=standard&ref=search-standalone&origin=cardTitle#sol=a16ef07f64349d0c45469de2a655461e6531aff5,20d ago,,,,,,13/03/2025,,Bay-of-Plenty
Full-Stack Developer,,"Due to ever expanding workloads we are looking for a Full-Stack Developer to join the Interpine team, based in Rotorua.",https://www.seek.co.nz/job/82594480?type=standard&ref=search-standalone&origin=cardTitle#sol=3c74d0987c67f967534184438804ba74e106db29,6d ago,,,,,,13/03/2025,,Bay-of-Plenty
Asphalt QA Technician,DOWNER NZ,Our Tauranga branch is looking for a critical thinker with an eye for detail and a passion for quality asphalt activities? Full Time Opportunity!,https://www.seek.co.nz/job/82180973?type=promoted&ref=search-standalone&origin=cardTitle#sol=a0f8691d0cd0caeb8455be46c211092a641a8ca4,23d ago,,,,,Competitive Pay + Penal Rates!,13/03/2025,,Bay-of-Plenty
