title,company,description,link,listedOn
"Trainee Lifeguard","Whanganui District Council","Looking for an opportunity to embark on a challenging and rewarding career? We're recruiting for new casual employees to start in our paid training","https://www.seek.co.nz/job/71523023?type=standout&ref=search-standalone#sol=643ef1bbdba62936d39e1a3986bca311d3893ce5","2023-11-03T07:30:18.702Z"
"Driver Operator (jetting unit)","DOWNER NZ","We are looking for a Driver Operator to join our team in Whanganui!","https://www.seek.co.nz/job/71221359?type=standout&ref=search-standalone#sol=e7373fbe970f0c45012378ea3740bdc00b114e59","2023-10-31T07:30:18.702Z"
"Range of Auditor Positions for Manawatu/Taupo/New Plymouth//Whanganui Office","Silks Audit Chartered Accountants","Audit Graduate to Experienced Auditors","https://www.seek.co.nz/job/71245044?type=standout&ref=search-standalone#sol=4a41f02796100ee6bf416bd73d5c1fca0d9dacb5","2023-10-31T07:30:18.702Z"
"Skipper - Paddle Steamer Waimarie","Waimarie Operating Trust","Be the next skipper for our Queen of the River - PS Waimarie and help us continue to share the lower reaches of Te Awa Tupua - Whanganui River.","https://www.seek.co.nz/job/71134539?type=standard&ref=search-standalone#sol=ea059ca165de0a126b4b44c7d7b3167505c9e9fc","2023-11-20T07:30:18.702Z"
"Extrusion Operators - Whanganui","Hynds","We offer a competitive hourly rate + shift allowance and company benefits. We will support your career development and provide training.","https://www.seek.co.nz/job/71157808?type=standout&ref=search-standalone#sol=e62afeb73eb3aa01be5ab6d6e51354945b41b2d2",
"Sous Chef","Honest Kitchen Limited","Our key success is our quality food produced by our quality chefs. This is a unique role offering full time hours Monday to Friday with no nights.","https://www.seek.co.nz/job/71631954?type=standout&ref=search-standalone#sol=dde53c1939b1837088a3646f0da16608ddb0ac1b",
"Assistant Manager at F45 Training (Group Fitness Trainer)","F45 Whanganui","LOVE WHAT YOU DO EVERYDAY AND GET PAID FOR IT!!","https://www.seek.co.nz/job/71446912?type=promoted&ref=search-standalone#sol=f8281575bcb2b1e2198b21a68ddd60e9bbc6bebc","2023-11-17T07:30:23.834Z"
"Assistant Store Manager - Operations","Farmers Trading Company","Are you an Operations leader? Come join Wanganui's premium shopping destination !","https://www.seek.co.nz/job/71177833?type=promoted&ref=search-standalone#sol=b4e767084c91171766a681cc1de31ded5c8e0818","2023-11-04T07:30:23.834Z"
"Driver Operator - Pavement Crew","DOWNER NZ","We are looking for an experienced or up-and-coming Driver Operator - Paving","https://www.seek.co.nz/job/71583245?type=standout&ref=search-standalone#sol=d3f339fba729f3937ce082985fe27d6ee514028f","2023-11-01T07:30:23.834Z"
"Gas Technician/Trainee Technician","GasNet Limited","Enjoy working outdoors, like physical work, don’t mind picking up a shovel at times and want to achieve industry qualifications while earning.","https://www.seek.co.nz/job/71254416?type=standout&ref=search-standalone#sol=062d8b81d8d8b88852d54cd53ed963539258bd90","2023-11-16T07:30:23.834Z"
"Assistant Store Manager - Operations","Farmers Trading Company","Are you an Operations leader? Come join Wanganui's premium shopping destination !","https://www.seek.co.nz/job/71177833?type=standout&ref=search-standalone#sol=937ff0ca7f72934eea57eb5550e5740dffb5f30d","2023-11-23T07:30:23.834Z"
